lat,lon,time,brightness
-33.92289131741587,18.420832615177805,158.0,43.25604100356868
-33.92288562553777,18.420845347088065,159.0,43.427073567708334
-33.92287845454907,18.420856658166084,160.0,45.32033263406636
-33.922872030254815,18.420869678289773,161.0,45.89960624035494
-33.92286704959657,18.420885096763616,162.0,48.58544536072531
-33.92286371313668,18.4209035399167,163.0,47.8002961636767
-33.92286082885745,18.420922712925,164.0,49.020626627604166
-33.92285849196007,18.42094240334199,165.0,47.34309714988426
-33.922856883211054,18.42096101892454,166.0,46.8340055941358
-33.92285559119413,18.420978431813488,167.0,47.02784981433256
-33.92285249973026,18.420995166372894,168.0,45.34703275704089
-33.92284838255984,18.421008835148168,169.0,45.72255588107639
-33.922841587794466,18.421021235501087,170.0,44.23372751494985
-33.922833314476186,18.421032668795338,171.0,42.113604178722994
-33.922824342925054,18.421043379585573,172.0,41.575377664448304
-33.92281419572724,18.421053768945,173.0,37.89126085069445
-33.92280407837652,18.421064256400925,174.0,37.13358922887731
-33.922793300658384,18.42107317503434,175.0,37.36621979890046
-33.922781069372505,18.421080096269193,176.0,38.753747649016205
-33.922768146024616,18.421085910252295,177.0,42.69849380304784
-33.92275457106224,18.4210896584686,178.0,48.27026180314429
-33.92273934970857,18.42109082057408,179.0,52.37550503954476
-33.92272433314044,18.421091398367558,180.0,55.91697651427469
-33.9227077396884,18.421092037733462,181.0,56.68107614776235
-33.92269094924119,18.421092273888295,182.0,56.939091133777005
-33.92267374086957,18.421093359574368,183.0,54.91920193142361
-33.92265658877545,18.421095125436935,184.0,50.3244735001929
-33.92263995545029,18.421096960158774,185.0,49.09165557484568
-33.92262459172099,18.421102083358328,186.0,46.141471414448304
-33.92260922974088,18.42110768342087,187.0,44.871025872878086
-33.92259355332588,18.4211131023396,188.0,42.69353792920525
-33.92257931976823,18.42112089873158,189.0,43.92602888695988
-33.92256556697806,18.421128741268944,190.0,46.236072289737656
-33.92255275051269,18.421136530462253,191.0,45.91653736255787
-33.922540898561486,18.421145343703774,192.0,41.31776765046296
-33.922529677770434,18.421155421681608,193.0,39.866900921103394
-33.92251895864472,18.421166972683107,194.0,38.438108603395065
-33.922508559987826,18.421177513431655,195.0,37.18032196421682
-33.9224981111611,18.42118607255624,196.0,36.42709376205633
-33.92248831981137,18.421195861737647,197.0,37.35368827160494
-33.92247949887226,18.42120667974709,198.0,40.535962456597225
-33.92247210524158,18.421219222329754,199.0,42.502118899498456
-33.92246774781739,18.42123564729811,200.0,44.42061933352623
-33.9224649131447,18.421253437239084,201.0,45.01965422453704
-33.92246452975018,18.421273592990822,202.0,44.7290470076196
-33.92246629022395,18.421296332330993,203.0,39.36859953703704
-33.92246827934641,18.421318973924972,204.0,37.54521520543982
-33.92246984037552,18.42134149755604,205.0,36.742870973186726
-33.92246985281474,18.421363838398197,206.0,36.89294047791281
-33.92246780154005,18.421384821717197,207.0,39.21768012152778
-33.92246417629275,18.421403044916822,208.0,41.454982096354165
-33.92245843581371,18.421417851259548,209.0,44.52287645881559
-33.922452317131366,18.421432526731234,210.0,41.27983175395448
-33.922445962038566,18.421447351575214,211.0,39.87408383969908
-33.92243915231303,18.421460505005978,212.0,42.169212721836416
-33.922431729013404,18.421472990028604,213.0,44.74637556664737
-33.92242361370568,18.421485000304433,214.0,48.48740119839892
